Action	작업
Add	추가
Advanced	고급
Always	항상
App	앱
Auto	자동
Back	뒤로
Bluetooth	블루투스
Bluetooth Pairing	블루투스 페어링
Cancel	취소
Channel	채널
Chat	채팅
Chinese	중국어
Close	닫기
Contacts	연락처
Data Exchange	데이터 교환
Delete	삭제
Disabled	비활성화
Discover	검색
Display Language	표시 언어
Edit	편집
Energy Sweep	주파수 스캔
English	영어
English keyboard	영어 키보드
Error	오류
Factory Reset	공장 초기화
GPS	GPS
Extensions	확장 기능
Language	언어
Package Details	패키지 세부 정보
Back to list	목록으로 돌아가기
Install	설치
Update	업데이트
Uninstall	제거
Incompatible	호환되지 않음
Compatible with this device	이 기기와 호환됨
Compatibility: %s	호환성: %s
memory profile mismatch	메모리 프로필 불일치
needs %s	%s 필요
Update available: %s	업데이트 가능: %s
Installed	설치됨
Installed: %s	설치됨: %s
Available to install	설치 가능
Blocked	차단됨
%lu locales  %lu fonts  %lu IME  %s	로캘 %lu개  글꼴 %lu개  입력기 %lu개  %s
No Wi-Fi	Wi-Fi 없음
Installing package...	패키지 설치 중...
Package installed	패키지가 설치되었습니다
Uninstalling package...	패키지 제거 중...
Package uninstalled	패키지가 제거되었습니다
No language packs available	사용 가능한 언어 팩이 없습니다
Available language packs: %lu	사용 가능한 언어 팩: %lu
About	정보
Package Info	패키지 정보
Contents	구성
Source	출처
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	아카이브: %s\n추가 글꼴 RAM: %s\n프로필: %s\n%s
Locales: %s\nFonts: %s\nIME: %s	로캘: %s\n글꼴: %s\n입력기: %s
Author: %s\nHomepage: %s	작성자: %s\n홈페이지: %s
None	없음
GPS Status	GPS 상태
Hide	숨기기
Info	정보
Japanese	일본어
Korean	한국어
Loading...	로딩 중...
Map	지도
Map Layer	지도 레이어
Nearby	근처
Network	네트워크
New	새로 만들기
No messages	메시지 없음
No recent traffic	최근 트래픽 없음
Not set	설정 안 됨
Number keyboard	숫자 키보드
OFF	끔
OK	확인
ON	켬
Pairing	페어링
PC Link	PC 연결
Power	전원
Protocol	프로토콜
Ready	준비됨
Recent Activity	최근 활동
Reply	답장
Run	실행
Save	저장
Scan failed	스캔 실패
Scan Local	로컬 스캔
Scanning 5s...	5초 스캔 중...
SEARCH	검색
Screen Brightness	화면 밝기
Screen Timeout	화면 꺼짐 시간
Settings	설정
Setting	설정
Sky Plot	위성도
Speaker Volume	스피커 음량
Status	상태
Stopped	중지됨
Stop	중지
Submit	제출
System	시스템
Team	팀
Team Status	팀 상태
Time Zone	시간대
Tracker	궤적
Traditional Chinese	번체 중국어
Unknown	알 수 없음
USB Disk	USB 저장소
User Name	사용자 이름
Verification Number	확인 번호
Vibration	진동
Clear all settings and restart?	모든 설정을 지우고 다시 시작할까요?
