Action	Azione
Add	Aggiungi
Advanced	Avanzato
Always	Sempre
App	App
Auto	Auto
Back	Indietro
Bluetooth	Bluetooth
Bluetooth Pairing	Associazione Bluetooth
Cancel	Annulla
Channel	Canale
Chat	Chat
Chinese	Cinese
Close	Chiudi
Contacts	Contatti
Data Exchange	Scambio dati
Delete	Elimina
Disabled	Disattivato
Discover	Scopri
Display Language	Lingua display
Edit	Modifica
Energy Sweep	Scansione RF
English	Inglese
English keyboard	Tastiera inglese
Error	Errore
Factory Reset	Riprist. fabbrica
GPS	GPS
Extensions	Estensioni
Language	Lingua
Package Details	Dettagli pacchetto
Back to list	Torna all'elenco
Install	Installa
Update	Aggiorna
Uninstall	Disinstalla
Incompatible	Incompatibile
Compatible with this device	Compatibile con questo dispositivo
Compatibility: %s	Compatibilità: %s
memory profile mismatch	profilo memoria incompatibile
needs %s	richiede %s
Update available: %s	Aggiornamento disponibile: %s
Installed	Installato
Installed: %s	Installato: %s
Available to install	Disponibile per l'installazione
Blocked	Bloccato
%lu locales  %lu fonts  %lu IME  %s	%lu lingue  %lu font  %lu IME  %s
No Wi-Fi	Nessun Wi-Fi
Installing package...	Installazione pacchetto...
Package installed	Pacchetto installato
Uninstalling package...	Disinstallazione pacchetto...
Package uninstalled	Pacchetto disinstallato
No language packs available	Nessun pacchetto lingua disponibile
Available language packs: %lu	Pacchetti lingua disponibili: %lu
About	Informazioni
Package Info	Info pacchetto
Contents	Contenuto
Source	Origine
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	Archivio: %s\nRAM font extra: %s\nProfili: %s\n%s
Locales: %s\nFonts: %s\nIME: %s	Lingue: %s\nFont: %s\nIME: %s
Author: %s\nHomepage: %s	Autore: %s\nHomepage: %s
None	Nessuno
GPS Status	Stato GPS
Hide	Nascondi
Info	Info
Loading...	Caricamento...
Map	Mappa
Map Layer	Livello mappa
Nearby	Vicino
Network	Rete
New	Nuovo
No messages	Nessun messaggio
No recent traffic	Nessun traffico recente
Not set	Non impostato
Number keyboard	Tastiera numerica
OFF	OFF
OK	OK
ON	ON
Pairing	Associazione
PC Link	Link PC
Power	Alimentazione
Protocol	Protocollo
Ready	Pronto
Recent Activity	Attività recenti
Reply	Rispondi
Run	Esegui
Save	Salva
Scan failed	Scansione fallita
Scan Local	Scansione locale
Scanning 5s...	Scansione 5 s...
SEARCH	CERCA
Screen Brightness	Luminosità schermo
Screen Timeout	Timeout schermo
Settings	Impostazioni
Setting	Impostazione
Sky Plot	Cielo GPS
Speaker Volume	Volume altoparlante
Status	Stato
Stopped	Arrestato
Stop	Ferma
Submit	Invia
System	Sistema
Team	Squadra
Team Status	Stato squadra
Time Zone	Fuso orario
Tracker	Tracciamento
Unknown	Sconosciuto
USB Disk	Disco USB
User Name	Nome utente
Verification Number	Numero di verifica
Vibration	Vibrazione
Clear all settings and restart?	Cancellare tutte le impostazioni e riavviare?
