Action	Aktion
Add	Hinzufügen
Advanced	Erweitert
Always	Immer
App	App
Auto	Auto
Back	Zurück
Bluetooth	Bluetooth
Bluetooth Pairing	Bluetooth-Kopplung
Cancel	Abbrechen
Channel	Kanal
Chat	Chat
Chinese	Chinesisch
Close	Schließen
Contacts	Kontakte
Data Exchange	Datenaustausch
Delete	Löschen
Disabled	Deaktiviert
Discover	Suchen
Display Language	Anzeigesprache
Edit	Bearbeiten
Energy Sweep	Frequenzscan
English	Englisch
English keyboard	Englische Tastatur
Error	Fehler
Factory Reset	Werkreset
GPS	GPS
Extensions	Erweiterungen
Language	Sprache
Package Details	Paketdetails
Back to list	Zur Liste
Install	Installieren
Update	Aktualisieren
Uninstall	Deinstallieren
Incompatible	Inkompatibel
Compatible with this device	Mit diesem Gerät kompatibel
Compatibility: %s	Kompatibilität: %s
memory profile mismatch	Speicherprofil stimmt nicht überein
needs %s	benötigt %s
Update available: %s	Update verfügbar: %s
Installed	Installiert
Installed: %s	Installiert: %s
Available to install	Zur Installation verfügbar
Blocked	Blockiert
%lu locales  %lu fonts  %lu IME  %s	%lu Sprachen  %lu Schriftarten  %lu IME  %s
No Wi-Fi	Kein Wi-Fi
Installing package...	Paket wird installiert...
Package installed	Paket installiert
Uninstalling package...	Paket wird deinstalliert...
Package uninstalled	Paket deinstalliert
No language packs available	Keine Sprachpakete verfügbar
Available language packs: %lu	Verfügbare Sprachpakete: %lu
About	Über
Package Info	Paketinfo
Contents	Inhalt
Source	Quelle
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	Archiv: %s\nZusätzlicher Schrift-RAM: %s\nProfile: %s\n%s
Locales: %s\nFonts: %s\nIME: %s	Sprachen: %s\nSchriftarten: %s\nIME: %s
Author: %s\nHomepage: %s	Autor: %s\nHomepage: %s
None	Keine
GPS Status	GPS-Status
Hide	Ausblenden
Info	Info
Loading...	Lädt...
Map	Karte
Map Layer	Kartenebene
Nearby	In der Nähe
Network	Netzwerk
New	Neu
No messages	Keine Nachrichten
No recent traffic	Kein neuer Funkverkehr
Not set	Nicht gesetzt
Number keyboard	Zifferntastatur
OFF	AUS
OK	OK
ON	EIN
Pairing	Koppeln
PC Link	PC-Verbindung
Power	Strom
Protocol	Protokoll
Ready	Bereit
Recent Activity	Letzte Aktivität
Reply	Antworten
Run	Ausführen
Save	Speichern
Scan failed	Scan fehlgeschlagen
Scan Local	Lokal scannen
Scanning 5s...	Scanne 5 s...
SEARCH	SUCHE
Screen Brightness	Bildschirmhelligkeit
Screen Timeout	Bildschirm-Timeout
Settings	Einstellungen
Setting	Einstellung
Sky Plot	Sky Plot
Speaker Volume	Lautstärke
Status	Status
Stopped	Gestoppt
Stop	Stopp
Submit	Bestätigen
System	System
Team	Team
Team Status	Teamstatus
Time Zone	Zeitzone
Tracker	Tracker
Unknown	Unbekannt
USB Disk	USB-Speicher
User Name	Benutzername
Verification Number	Bestätigungsnummer
Vibration	Vibration
Clear all settings and restart?	Alle Einstellungen löschen und neu starten?
