Action	操作
Add	追加
Advanced	詳細
Always	常時
App	アプリ
Auto	自動
Back	戻る
Bluetooth	Bluetooth
Bluetooth Pairing	Bluetoothペアリング
Cancel	キャンセル
Channel	チャンネル
Chat	チャット
Chinese	中国語
Close	閉じる
Contacts	連絡先
Data Exchange	データ交換
Delete	削除
Disabled	無効
Discover	検出
Display Language	表示言語
Edit	編集
Energy Sweep	周波数スイープ
English	英語
English keyboard	英語キーボード
Error	エラー
Factory Reset	工場出荷時設定
GPS	GPS
Extensions	拡張機能
Language	言語
Package Details	パッケージ詳細
Back to list	一覧に戻る
Install	インストール
Update	更新
Uninstall	アンインストール
Incompatible	非互換
Compatible with this device	このデバイスに対応
Compatibility: %s	互換性: %s
memory profile mismatch	メモリプロファイル不一致
needs %s	%s が必要
Update available: %s	更新あり: %s
Installed	インストール済み
Installed: %s	インストール済み: %s
Available to install	インストール可能
Blocked	ブロック
%lu locales  %lu fonts  %lu IME  %s	%lu ロケール  %lu フォント  %lu IME  %s
No Wi-Fi	Wi-Fi なし
Installing package...	パッケージをインストール中...
Package installed	パッケージをインストールしました
Uninstalling package...	パッケージをアンインストール中...
Package uninstalled	パッケージをアンインストールしました
No language packs available	利用可能な言語パックはありません
Available language packs: %lu	利用可能な言語パック: %lu
About	概要
Package Info	パッケージ情報
Contents	内容
Source	提供元
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	アーカイブ: %s\n追加フォント RAM: %s\nプロファイル: %s\n%s
Locales: %s\nFonts: %s\nIME: %s	ロケール: %s\nフォント: %s\nIME: %s
Author: %s\nHomepage: %s	作者: %s\nホームページ: %s
None	なし
GPS Status	GPS状態
Hide	隠す
Info	情報
Japanese	日本語
Korean	韓国語
Loading...	読み込み中...
Map	地図
Map Layer	地図レイヤー
Nearby	近く
Network	ネットワーク
New	新規
No messages	メッセージなし
No recent traffic	最近の通信なし
Not set	未設定
Number keyboard	数字キーボード
OFF	OFF
OK	OK
ON	ON
Pairing	ペアリング
PC Link	PC接続
Power	電源
Protocol	プロトコル
Ready	準備完了
Recent Activity	最近のアクティビティ
Reply	返信
Run	実行
Save	保存
Scan failed	スキャン失敗
Scan Local	ローカルスキャン
Scanning 5s...	5秒スキャン中...
SEARCH	検索
Screen Brightness	画面の明るさ
Screen Timeout	画面タイムアウト
Settings	設定
Setting	設定
Sky Plot	スカイプロット
Speaker Volume	スピーカー音量
Status	状態
Stopped	停止済み
Stop	停止
Submit	送信
System	システム
Team	チーム
Team Status	チーム状態
Time Zone	タイムゾーン
Tracker	軌跡
Traditional Chinese	繁体字中国語
Unknown	不明
USB Disk	USBストレージ
User Name	ユーザー名
Verification Number	確認番号
Vibration	バイブレーション
Clear all settings and restart?	すべての設定を消去して再起動しますか？
