Action	操作
Add	添加
Advanced	高级
Always	常亮
Altitude	高度
Altitude Reference	高度参考
App	应用
Area Cleared	区域清除
Auto	自动
Awaiting teammate	等待队友
Back	返回
Base Camp	营地
Beijing (UTC+8)	北京 (UTC+8)
BLE bridge ready  |  %s	BLE 桥接已就绪  |  %s
BLE linked  |  %s	BLE 已连接  |  %s
Bluetooth	蓝牙
Bluetooth Pairing	蓝牙配对
Bcast	广播
Bridge error	桥接错误
Broadcast	广播
Cancel	取消
Channel	信道
Chat	聊天
Chat unavailable	聊天不可用
Chinese	中文
Closes automatically after pairing	配对完成后将自动关闭
Close	关闭
Command	指令
Command: %s	指令:%s
Command: %s %s	指令:%s %s
Command: %s %s %s	指令:%s %s %s
Compare Verification Code	比对验证码
Compass	指南针
Connected	已连接
Connected, handshaking...	已连接,正在握手...
Contacts	联系人
Contacts (%s)	联系人(%s)
Contacts (LXMF)	联系人(LXMF)
Contacts (LXMF - %.3fMHz)	联系人(LXMF - %.3fMHz)
Contacts (MeshCore)	联系人(MeshCore)
Contacts (Meshtastic - %.3fMHz)	联系人(Meshtastic - %.3fMHz)
Contacts (RNode)	联系人(RNode)
Contacts (RNode - %.3fMHz)	联系人(RNode - %.3fMHz)
Conversation protocol mismatch	会话协议不匹配
Cyrillic keyboard	西里尔键盘
Data Exchange	数据交换
Debug Logs	调试日志
Decoding: %d%%	解码中:%d%%
Decoding: 0%	解码中:0%
Delete	删除
Delete %s?	删除 %s?
Delete contact %s?	删除联系人 %s?
Delete failed	删除失败
Device: %s	设备:%s
Direct	私聊
Disabled	已禁用
Discover	发现
Display Language	显示语言
Duplicate name not allowed	名称不能重复
Edit	编辑
Edit nickname	编辑昵称
Emergency SOS	紧急求救
Energy Sweep	频谱扫描
English	English
English keyboard	英文键盘
Enter nickname	输入昵称
Enter number for %s	输入 %s 的校验数字
Enter the 6-digit number	请输入 6 位数字
Enter this 6-digit PIN on your phone	请在手机上输入这个 6 位 PIN 码
Error	错误
Error: %lu	错误:%lu
FSK Voice	FSK 语音
Failed	失败
Fix	定位
Fixed PIN	固定 PIN
Gauge Design (mAh)	电池设计容量 (mAh)
Gauge Full (mAh)	电池满充容量 (mAh)
Good Find	发现目标
GPS	GPS
Extensions	扩展
Language	语言
Package Details	包详情
Back to list	返回列表
Install	安装
Update	更新
Uninstall	卸载
Incompatible	不兼容
Compatible with this device	与此设备兼容
Compatibility: %s	兼容性：%s
memory profile mismatch	内存配置不匹配
needs %s	需要 %s
Update available: %s	有可用更新：%s
Installed	已安装
Installed: %s	已安装：%s
Available to install	可安装
Blocked	已阻止
%lu locales  %lu fonts  %lu IME  %s	%lu 个语言  %lu 个字体  %lu 个输入法  %s
No Wi-Fi	无 Wi-Fi
Installing package...	正在安装软件包...
Package installed	软件包已安装
Uninstalling package...	正在卸载软件包...
Package uninstalled	软件包已卸载
No language packs available	没有可用语言包
Available language packs: %lu	可用语言包：%lu
About	关于
Package Info	软件包信息
Contents	内容
Source	来源
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	压缩包：%s\n额外字体 RAM：%s\n配置：%s\n%s
Locales: %s\nFonts: %s\nIME: %s	语言：%s\n字体：%s\n输入法：%s
Author: %s\nHomepage: %s	作者：%s\n主页：%s
None	无
GPS Status	GPS 状态
HDOP	HDOP
Heading starting	航向启动中
Hide	隐藏
Host bridge	主机桥接
Host connected, probing modem...	主机已连接,正在探测调制解调器...
IDLE	空闲
Ignored	已忽略
Ignore	忽略
Ignore unavailable	当前无法忽略
Ignore update failed	忽略状态更新失败
Image received	图像已接收
Info	信息
Initializing...	初始化中...
Invalid airtime factor	空口系数无效
Invalid design capacity (mAh)	设计容量 (mAh) 无效
Invalid frequency offset	频偏无效
Invalid frequency value	频率值无效
Invalid full capacity (mAh)	满充容量 (mAh) 无效
Invalid marker	无效标记
Invalid MeshCore bandwidth	MeshCore 带宽无效
Invalid MeshCore frequency	MeshCore 频率无效
Invalid number	数字无效
Invalid RX delay	接收延迟无效
Key marked trusted	密钥已标记为可信
Key must be 32 hex or 16 chars	密钥必须为 32 位十六进制或 16 个字符
Key trust failed	密钥信任失败
Key Verification	密钥校验
LINKED	已组网
LISTEN	监听
LIVE	实时
Loading...	加载中...
Location	位置
Location: %s	位置:%s
Location: %s %s	位置:%s %s
LoRa direct path  |  %s	LoRa 直连  |  %s
Low battery - audio disabled	电量低,已禁用音频
Map	地图
Map Layer	地图图层
MESH	网状
Mesh Status	网状状态
Mesh unavailable	Mesh 不可用
MeshCore only	仅支持 MeshCore
Message DB cleared	消息数据库已清空
Messages	消息
MESSAGES	消息
Messages and broadcasts show here	消息和广播会显示在这里
Mini Compass	迷你指南针
MT send uses slot 0/1 only	Meshtastic 发送仅支持槽位 0/1
N/A	不适用
Nearby	附近
Need local GPS	需要本机 GPS
Network	网络
New	新建
new activity	有新动态
Next	下一页
No GPS fix	没有 GPS 定位
No image	没有图像
No messages	暂无消息
No preview	无预览
No recent traffic	暂无最近活动
No response	无响应
No route selected	未选择路线
No target	没有目标
No track files	没有轨迹文件
Node DB reset	节点数据库已重置
Node ignored	节点已忽略
Node ignored and hidden	节点已忽略并隐藏
Node unignored	已取消忽略节点
North locked	北向已锁定
Not set	未设置
NO	否
NO FIX	无定位
Number keyboard	数字键盘
OFF	关
OK	确定
ON	开
online	在线
Pairing	配对
PC Link	电脑连接
PC Link is unavailable on this target.	当前目标暂不支持电脑连接.
peer lock  |  turn %03.0f deg	目标锁定  |  转向 %03.0f 度
Pinyin keyboard	拼音键盘
Pinyin: %s	拼音:%s
Position	位置
position stream active  |  %u in view	定位流活跃  |  可见 %u 颗
Power	电量
Press Back	按返回键
Press RX to start	按 RX 开始
Primary	主信道
Protocol	协议
Protocol switch failed	协议切换失败
Protocol switched	协议已切换
quiet net	网络安静
Random PIN	随机 PIN
Ready	就绪
RECEIVING	接收中
Recent Activity	最近活动
Record	记录
Recording	记录中
Region	区域
Remain: %u	剩余:%u
Reply	回复
Reply disabled for this protocol	此协议下不能回复
Reset Mesh Profiles	重置 Mesh 配置
Reset Node DB	重置节点数据库
Resetting...	重置中...
Return	返回
Rally Point	集结点
RNode Bridge	RNode Bridge
RNode modem ready	RNode 调制解调器已就绪
RNode text chat runs on host	RNode 文本聊天在主机侧运行
Route	路线
Run	执行
RX	RX
RX: %lu  TX: %lu	接收:%lu  发送:%lu
RX: 0  TX: 0	接收:0  发送:0
Save	保存
Saved: %s	已保存:%s
Scan failed	扫描失败
Scan Local	本地扫描
Scanning 5s...	扫描 5 秒中...
Screen Brightness	屏幕亮度
Screen Timeout	熄屏超时
SEARCH	搜索中
Secondary	次信道
Select a route	请选择路线
Select a track	请选择轨迹
Select marker	选择标记
Select Track	选择轨迹
Selected: %s	已选:%s
Send	发送
Send failed	发送失败
Send this code and compare:\n	发送这个验证码并比对:\n
Send ID Broadcast	广播发送 ID
Send ID Local	本地发送 ID
Sending...	发送中...
Sent	已发送
Queued	已排队
Delivered	已送达
Settings	设置
Setting	设置
Share Position Marker	分享位置标记
Share this number:\n	请分享这个数字:\n
Short Name	短名称
SOLO	单机
Speaker Volume	提示音音量
Sky Plot	星图
SSTV RX READY	SSTV 接收就绪
SSTV start failed	SSTV 启动失败
standing by	待命
Status	状态
Stopped	已停止
Stop	停止
Stop recording first	请先停止记录
Submit	提交
Submit failed	提交失败
System	系统
SATELLITE STATUS	卫星状态
Talk	说话
TALK	说话
Team	团队
TEAM	团队
Team chat send failed	团队消息发送失败
Team chat unavailable	团队聊天不可用
Team chat unavailable in RNode mode	RNode 模式下团队聊天不可用
team member position will appear here	队友位置会显示在这里
Team keys not ready	团队密钥未就绪
Team location encode failed	团队位置编码失败
Text chat unavailable	文本聊天不可用
threads active	活跃会话
Time Zone	时区
Tracker	轨迹
traffic active	流量活跃
Trust Key	信任密钥
U	用
Unignore	取消忽略
Unread	未读
Unknown	未知
USB Mass Storage	USB 大容量存储
USB Disk	USB存储
USB Bridge	USB 桥接
USB host bridge	USB 主机桥接
USB Bridge is unavailable on this target.	当前目标暂不支持 USB 桥接.
USB CDC KISS modem for Reticulum	面向 Reticulum 的 USB CDC KISS 调制解调器
USE	用
Used	已用
User Name	用户名
Verification Number	校验数字
Verification number sent	校验数字已发送
Vibration	振动
VOL %d	音量 %d
VOL 80	音量 80
waiting for better sky view  |  %u in view	等待更好的天空视野  |  可见 %u 颗
waiting for module GNSS compass	等待 GNSS/指南针模块
waiting for traffic	等待流量
Waiting for host...	等待主机连接...
Waiting for Reticulum host...	等待 Reticulum 主机连接...
WAIT IMU	等待 IMU
Walkie not available	对讲功能不可用
Walkie start failed	对讲启动失败
Walkie Talkie	对讲机
YES	是
6 digits	6 位数字
%u threads active	%u 个会话活跃
%ud	%u天
%uh	%u小时
%um	%u分
%umo	%u月
%uy	%u年
Confirm received code:\n	确认收到的验证码:\n
device heading from 9-axis module	设备航向来自 9 轴模块
heading unlocks after first fix	首次定位后解锁航向
If it matches, trust the key.	如果一致,请信任此密钥。
magnetometer heading active	磁力计航向已启用
magnetometer still warming up	磁力计仍在预热
needle shows north until target lock	锁定目标前指针指向北方
