Action	Действие
Add	Добавить
Advanced	Расширенные
Always	Всегда
Altitude	Высота
Altitude Reference	Ориентир высоты
App	Приложение
Area Cleared	Зона очищена
Auto	Авто
Awaiting teammate	Ожидание напарника
Back	Назад
Base Camp	Базовый лагерь
Beijing (UTC+8)	Пекин (UTC+8)
BLE bridge ready  |  %s	BLE мост готов  |  %s
BLE linked  |  %s	BLE подключён  |  %s
Bluetooth	Bluetooth
Bluetooth Pairing	Сопряжение Bluetooth
Bcast	Широковещ.
Bridge error	Ошибка моста
Broadcast	Широковещание
Cancel	Отмена
Channel	Канал
Chat	Чат
Chat unavailable	Чат недоступен
Chinese	Китайский
Closes automatically after pairing	Закрывается после сопряжения
Close	Закрыть
Command	Команда
Command: %s	Команда: %s
Command: %s %s	Команда: %s %s
Command: %s %s %s	Команда: %s %s %s
Compare Verification Code	Сравнить код
Compass	Компас
Connected	Подключено
Connected, handshaking...	Подключено, рукопожатие...
Contacts	Контакты
Contacts (%s)	Контакты (%s)
Contacts (LXMF)	Контакты (LXMF)
Contacts (LXMF - %.3fMHz)	Контакты (LXMF - %.3fМГц)
Contacts (MeshCore)	Контакты (MeshCore)
Contacts (Meshtastic - %.3fMHz)	Контакты (Meshtastic - %.3fМГц)
Contacts (RNode)	Контакты (RNode)
Contacts (RNode - %.3fMHz)	Контакты (RNode - %.3fМГц)
Conversation protocol mismatch	Несовпадение протокола
Data Exchange	Обмен данными
Debug Logs	Журналы отладки
Decoding: %d%%	Декодирование: %d%%
Decoding: 0%	Декодирование: 0%
Delete	Удалить
Delete %s?	Удалить %s?
Delete contact %s?	Удалить контакт %s?
Delete failed	Ошибка удаления
Device: %s	Устройство: %s
Direct	Напрямую
Disabled	Отключено
Discover	Обнаружить
Display Language	Язык экрана
Duplicate name not allowed	Повтор имени запрещён
Edit	Изменить
Edit nickname	Изменить псевдоним
Emergency SOS	Экстренный SOS
Energy Sweep	Сканирование
English	Английский
English keyboard	Англ. клавиатура
Enter nickname	Ввести псевдоним
Enter number for %s	Ввести номер для %s
Enter the 6-digit number	Введите 6-значный номер
Enter this 6-digit PIN on your phone	Введите 6-значный PIN на телефоне
Error	Ошибка
Error: %lu	Ошибка: %lu
FSK Voice	FSK голос
Failed	Не удалось
Fix	Фикс.
Fixed PIN	Фикс. PIN
Gauge Design (mAh)	Ёмкость проект. (мАч)
Gauge Full (mAh)	Полная ёмкость (мАч)
Good Find	Хорошая находка
GPS	GPS
Extensions	Расширения
Language	Язык
Package Details	Детали пакета
Back to list	Назад к списку
Install	Установить
Update	Обновить
Uninstall	Удалить
Incompatible	Несовместимо
Compatible with this device	Совместимо с устройством
Compatibility: %s	Совместимость: %s
memory profile mismatch	Несовпадение профиля памяти
needs %s	требуется %s
Update available: %s	Доступно обновление: %s
Installed	Установлено
Installed: %s	Установлено: %s
Available to install	Доступно для установки
Blocked	Заблокировано
%lu locales  %lu fonts  %lu IME  %s	%lu языков  %lu шрифтов  %lu IME  %s
No Wi-Fi	Нет Wi-Fi
Installing package...	Установка пакета...
Package installed	Пакет установлен
Uninstalling package...	Удаление пакета...
Package uninstalled	Пакет удалён
No language packs available	Нет языковых пакетов
Available language packs: %lu	Доступно языковых пакетов: %lu
About	О программе
Package Info	Инфо пакета
Contents	Содержимое
Source	Источник
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	Архив: %s\nДополнительный шрифт RAM: %s\nПрофили: %s\n%s
Locales: %s\nFonts: %s\nIME: %s	Локали: %s\nШрифты: %s\nIME: %s
Author: %s\nHomepage: %s	Автор: %s\nДомашняя страница: %s
None	Нет
GPS Status	Состояние GPS
HDOP	HDOP
Heading starting	Начало заголовка
Hide	Скрыть
Host bridge	Хост-мост
Host connected, probing modem...	Хост подключен, проверка модема...
IDLE	IDLE
Ignored	Игнорируется
Ignore	Игнорировать
Ignore unavailable	Игнорировать недоступно
Ignore update failed	Игнорировать обновление не удалось
Image received	Изображение получено
Info	Информация
Initializing...	Инициализация...
Invalid airtime factor	Неверный коэффициент эфирного времени
Invalid design capacity (mAh)	Неверная расчетная емкость (мАч)
Invalid frequency offset	Неверное смещение частоты
Invalid frequency value	Неверное значение частоты.
Invalid full capacity (mAh)	Неверная полная емкость (мАч)
Invalid marker	Неверный маркер
Invalid MeshCore bandwidth	Неверная пропускная способность MeshCore
Invalid MeshCore frequency	Неверная частота MeshCore
Invalid number	Неверный номер
Invalid RX delay	Неверная задержка RX
Key marked trusted	Ключ помечен как доверенный
Key must be 32 hex or 16 chars	Ключ должен иметь длину 32 шестнадцатеричных или 16 символов.
Key trust failed	Не удалось установить доверие к ключу
Key Verification	Проверка ключа
LINKED	СВЯЗАН
LISTEN	СЛУШАТЬ
LIVE	ПРЯМОЙ ЭФИР
Loading...	Загрузка...
Location	Местоположение
Location: %s	Местоположение: %s
Location: %s %s	Местоположение: %s %s
LoRa direct path  |  %s	Прямой путь LoRa |  %s
Low battery - audio disabled	Низкий заряд батареи – звук отключен
Map	Карта
Map Layer	Слой карты
MESH	СЕТКА
Mesh Status	Статус сетки
Mesh unavailable	Сетка недоступна
MeshCore only	только MeshCore
Message DB cleared	База данных сообщений очищена
Messages	Сообщения
MESSAGES	СООБЩЕНИЯ
Messages and broadcasts show here	Здесь отображаются сообщения и трансляции
Mini Compass	Мини-компас
MT send uses slot 0/1 only	Отправка MT использует только слот 0/1
N/A	Н/Д
Nearby	Рядом
Need local GPS	Нужен локальный GPS
Network	Сеть
New	Новый
new activity	новая деятельность
Next	Далее
No GPS fix	Нет исправления GPS
No image	Нет изображения
No messages	Нет сообщений
No preview	Нет предварительного просмотра
No recent traffic	Нет недавнего трафика
No response	Нет ответа
No route selected	Маршрут не выбран
No target	Нет цели
No track files	Нет файлов треков
Node DB reset	Сброс базы данных узла
Node ignored	Узел игнорируется
Node ignored and hidden	Узел игнорируется и скрыт
Node unignored	Узел не игнорируется
North locked	Север заблокирован
Not set	Не установлено
NO	НЕТ
NO FIX	НЕТ ИСПРАВЛЕНИЯ
Number keyboard	Цифровая клавиатура
OFF	ВЫКЛ.
OK	ОК
ON	ВКЛ.
online	онлайн
Pairing	Сопряжение
PC Link	Ссылка на ПК
PC Link is unavailable on this target.	PC Link недоступна для этой цели.
peer lock  |  turn %03.0f deg	одноранговая блокировка |  повернуть на %03.0f град.
Pinyin keyboard	Клавиатура пиньинь
Pinyin: %s	Пиньинь: %s
Position	Позиция
position stream active  |  %u in view	поток позиций активен |  %u на виду
Power	Мощность
Press Back	Нажмите Назад
Press RX to start	Нажмите RX, чтобы начать
Primary	Первичный
Protocol	Протокол
Protocol switch failed	Не удалось переключить протокол.
Protocol switched	Протокол переключен
quiet net	тихая сеть
