Action	Acción
Add	Agregar
Advanced	Avanzado
Always	Siempre
App	App
Auto	Auto
Back	Atrás
Bluetooth	Bluetooth
Bluetooth Pairing	Emparejamiento Bluetooth
Cancel	Cancelar
Channel	Canal
Chat	Chat
Chinese	Chino
Close	Cerrar
Contacts	Contactos
Data Exchange	Interc. datos
Delete	Eliminar
Disabled	Desactivado
Discover	Descubrir
Display Language	Idioma de pantalla
Edit	Editar
Energy Sweep	Barrido RF
English	Inglés
English keyboard	Teclado inglés
Error	Error
Factory Reset	Rest. de fábrica
GPS	GPS
Extensions	Extensiones
Language	Idioma
Package Details	Detalles del paquete
Back to list	Volver a la lista
Install	Instalar
Update	Actualizar
Uninstall	Desinstalar
Incompatible	Incompatible
Compatible with this device	Compatible con este dispositivo
Compatibility: %s	Compatibilidad: %s
memory profile mismatch	perfil de memoria incompatible
needs %s	requiere %s
Update available: %s	Actualización disponible: %s
Installed	Instalado
Installed: %s	Instalado: %s
Available to install	Disponible para instalar
Blocked	Bloqueado
%lu locales  %lu fonts  %lu IME  %s	%lu idiomas  %lu fuentes  %lu IME  %s
No Wi-Fi	Sin Wi-Fi
Installing package...	Instalando paquete...
Package installed	Paquete instalado
Uninstalling package...	Desinstalando paquete...
Package uninstalled	Paquete desinstalado
No language packs available	No hay paquetes de idioma disponibles
Available language packs: %lu	Paquetes de idioma disponibles: %lu
About	Acerca de
Package Info	Información del paquete
Contents	Contenido
Source	Origen
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	Archivo: %s\nRAM extra de fuentes: %s\nPerfiles: %s\n%s
Locales: %s\nFonts: %s\nIME: %s	Idiomas: %s\nFuentes: %s\nIME: %s
Author: %s\nHomepage: %s	Autor: %s\nPágina principal: %s
None	Ninguno
GPS Status	Estado GPS
Hide	Ocultar
Info	Información
Loading...	Cargando...
Map	Mapa
Map Layer	Capa de mapa
Nearby	Cercano
Network	Red
New	Nuevo
No messages	No hay mensajes
No recent traffic	Sin tráfico reciente
Not set	Sin configurar
Number keyboard	Teclado numérico
OFF	APAG
OK	OK
ON	ENC
Pairing	Emparejar
PC Link	Enlace PC
Power	Alimentación
Protocol	Protocolo
Ready	Listo
Recent Activity	Actividad reciente
Reply	Responder
Run	Ejecutar
Save	Guardar
Scan failed	Escaneo fallido
Scan Local	Escaneo local
Scanning 5s...	Escaneando 5 s...
SEARCH	BUSCAR
Screen Brightness	Brillo pantalla
Screen Timeout	Tiempo pantalla
Settings	Ajustes
Setting	Ajuste
Sky Plot	Cielo GPS
Speaker Volume	Volumen del altavoz
Status	Estado
Stopped	Detenido
Stop	Detener
Submit	Enviar
System	Sistema
Team	Equipo
Team Status	Estado del equipo
Time Zone	Zona horaria
Tracker	Seguimiento
Unknown	Desconocido
USB Disk	Disco USB
User Name	Nombre de usuario
Verification Number	Número de verificación
Vibration	Vibración
Clear all settings and restart?	¿Borrar todos los ajustes y reiniciar?
