Action	Akcja
Add	Dodaj
Advanced	Zaawansowane
Always	Zawsze
App	Aplikacja
Auto	Auto
Back	Wróć
Bluetooth	Bluetooth
Bluetooth Pairing	Parowanie Bluetooth
Cancel	Anuluj
Channel	Kanał
Chat	Czat
Chinese	Chiński
Close	Zamknij
Contacts	Kontakty
Data Exchange	Wymiana danych
Delete	Usuń
Disabled	Wyłączone
Discover	Wykryj
Display Language	Język interfejsu
Edit	Edytuj
Energy Sweep	Skan RF
English	Angielski
English keyboard	Klawiatura angielska
Error	Błąd
Factory Reset	Reset fabryczny
GPS	GPS
Extensions	Rozszerzenia
Language	Język
Package Details	Szczegóły pakietu
Back to list	Wróć do listy
Install	Zainstaluj
Update	Aktualizuj
Uninstall	Odinstaluj
Incompatible	Niezgodne
Compatible with this device	Zgodne z tym urządzeniem
Compatibility: %s	Zgodność: %s
memory profile mismatch	niezgodny profil pamięci
needs %s	wymaga %s
Update available: %s	Dostępna aktualizacja: %s
Installed	Zainstalowano
Installed: %s	Zainstalowano: %s
Available to install	Dostępne do instalacji
Blocked	Zablokowane
%lu locales  %lu fonts  %lu IME  %s	%lu języków  %lu czcionek  %lu IME  %s
No Wi-Fi	Brak Wi-Fi
Installing package...	Instalowanie pakietu...
Package installed	Pakiet zainstalowany
Uninstalling package...	Odinstalowywanie pakietu...
Package uninstalled	Pakiet odinstalowany
No language packs available	Brak dostępnych pakietów językowych
Available language packs: %lu	Dostępne pakiety językowe: %lu
About	Informacje
Package Info	Informacje o pakiecie
Contents	Zawartość
Source	Źródło
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	Archiwum: %s\nDodatkowy RAM czcionek: %s\nProfile: %s\n%s
Locales: %s\nFonts: %s\nIME: %s	Języki: %s\nCzcionki: %s\nIME: %s
Author: %s\nHomepage: %s	Autor: %s\nStrona główna: %s
None	Brak
GPS Status	Stan GPS
Hide	Ukryj
Info	Info
Loading...	Ładowanie...
Map	Mapa
Map Layer	Warstwa mapy
Nearby	W pobliżu
Network	Sieć
New	Nowy
No messages	Brak wiadomości
No recent traffic	Brak ostatniego ruchu
Not set	Nie ustawiono
Number keyboard	Klawiatura numeryczna
OFF	WYŁ
OK	OK
ON	WŁ
Pairing	Parowanie
PC Link	Połączenie PC
Power	Zasilanie
Protocol	Protokół
Ready	Gotowe
Recent Activity	Ostatnia aktywność
Reply	Odpowiedz
Run	Uruchom
Save	Zapisz
Scan failed	Skanowanie nieudane
Scan Local	Skan lokalny
Scanning 5s...	Skanowanie 5 s...
SEARCH	SZUKAJ
Screen Brightness	Jasność ekranu
Screen Timeout	Wygaszanie ekranu
Settings	Ustawienia
Setting	Ustawienie
Sky Plot	Wykres nieba
Speaker Volume	Głośność głośnika
Status	Status
Stopped	Zatrzymano
Stop	Stop
Submit	Zatwierdź
System	System
Team	Zespół
Team Status	Stan zespołu
Time Zone	Strefa czasowa
Tracker	Śledzenie
Unknown	Nieznane
USB Disk	Dysk USB
User Name	Nazwa użytkownika
Verification Number	Numer weryfikacyjny
Vibration	Wibracja
Clear all settings and restart?	Wyczyścić wszystkie ustawienia i uruchomić ponownie?
