Action	액션
Add	추가
Advanced	고급
Always	항상
Altitude	고도
Altitude Reference	고도 기준
App	앱
Area Cleared	영역 삭제됨
Auto	자동
Awaiting teammate	팀원을 기다리는 중
Back	뒤로
Base Camp	베이스캠프
Beijing (UTC+8)	베이징(UTC+8)
BLE bridge ready  |  %s	BLE 브리지 준비됨 |  %s
BLE linked  |  %s	BLE 연결됨 |  %s
Bluetooth	Bluetooth
Bluetooth Pairing	Bluetooth 페어링
Bcast	비캐스트
Bridge error	브릿지 오류
Broadcast	방송
Cancel	취소
Channel	채널
Chat	채팅
Chat unavailable	채팅 불가
Chinese	중국어
Closes automatically after pairing	페어링 후 자동으로 닫힙니다.
Close	닫기
Command	명령
Command: %s	명령: %s
Command: %s %s	명령: %s %s
Command: %s %s %s	명령: %s %s %s
Compare Verification Code	인증 코드 비교
Compass	나침반
Connected	연결됨
Connected, handshaking...	연결됨, 핸드쉐이킹 중...
Contacts	연락처
Contacts (%s)	연락처(%s)
Contacts (LXMF)	연락처(LXMF)
Contacts (LXMF - %.3fMHz)	연락처(LXMF - %.3fMHz)
Contacts (MeshCore)	연락처(MeshCore)
Contacts (Meshtastic - %.3fMHz)	연락처(Meshtastic - %.3fMHz)
Contacts (RNode)	연락처(RNode)
Contacts (RNode - %.3fMHz)	연락처(RNode - %.3fMHz)
Conversation protocol mismatch	대화 프로토콜 불일치
Data Exchange	데이터 교환
Debug Logs	디버그 로그
Decoding: %d%%	디코딩: %d%%
Decoding: 0%	디코딩: 0%
Delete	삭제
Delete %s?	%s을 삭제하시겠습니까?
Delete contact %s?	%s 연락처를 삭제하시겠습니까?
Delete failed	삭제 실패
Device: %s	장치: %s
Direct	직접
Disabled	비활성화됨
Discover	발견
Display Language	표시 언어
Duplicate name not allowed	중복된 이름은 허용되지 않습니다.
Edit	편집
Edit nickname	닉네임 수정
Emergency SOS	긴급 SOS
Energy Sweep	에너지 스윕
English	영어
English keyboard	영어 키보드
Enter nickname	닉네임을 입력하세요
Enter number for %s	%s의 번호를 입력하세요.
Enter the 6-digit number	6자리 숫자를 입력하세요.
Enter this 6-digit PIN on your phone	휴대폰에 이 6자리 PIN을 입력하세요.
Error	오류
Error: %lu	오류: %lu
FSK Voice	FSK 음성
Failed	실패
Fix	수정
Fixed PIN	고정 PIN
Gauge Design (mAh)	게이지 설계(mAh)
Gauge Full (mAh)	게이지 가득 참(mAh)
Good Find	좋은 발견
GPS	GPS
Extensions	확장
Language	언어
Package Details	패키지 세부사항
Back to list	목록으로 돌아가기
Install	설치
Update	업데이트
Uninstall	제거
Incompatible	호환되지 않음
Compatible with this device	이 장치와 호환 가능
Compatibility: %s	호환성: %s
memory profile mismatch	메모리 프로필 불일치
needs %s	에는 %s이 필요합니다.
Update available: %s	업데이트 가능: %s
Installed	설치됨
Installed: %s	설치됨: %s
Available to install	설치 가능
Blocked	차단됨
%lu locales  %lu fonts  %lu IME  %s	%lu 로케일 %lu 글꼴 %lu IME %s
No Wi-Fi	아니요 Wi-Fi
Installing package...	패키지 설치 중...
Package installed	패키지가 설치됨
Uninstalling package...	패키지 제거 중...
Package uninstalled	패키지가 제거되었습니다.
No language packs available	사용 가능한 언어 팩이 없습니다.
Available language packs: %lu	사용 가능한 언어 팩: %lu
About	소개
Package Info	패키지 정보
Contents	내용
Source	소스
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	아카이브: %s\n추가 글꼴 RAM: %s\n프로필: %s\n%s
Locales: %s\nFonts: %s\nIME: %s	로케일: %s\n글꼴: %s\nIME: %s
Author: %s\nHomepage: %s	작성자: %s\n홈페이지: %s
None	없음
GPS Status	GPS 상태
HDOP	HDOP
Heading starting	방향 시작
Hide	숨기기
Host bridge	호스트 브리지
Host connected, probing modem...	호스트 연결됨, 모뎀 검색 중...
IDLE	IDLE
Ignored	무시됨
Ignore	무시
Ignore unavailable	무시 불가
Ignore update failed	업데이트 무시 실패
Image received	이미지 수신됨
Info	정보
Initializing...	초기화 중...
Invalid airtime factor	유효하지 않은 방송 시간 요소
Invalid design capacity (mAh)	잘못된 설계 용량(mAh)
Invalid frequency offset	잘못된 주파수 오프셋
Invalid frequency value	잘못된 주파수 값
Invalid full capacity (mAh)	유효하지 않은 전체 용량(mAh)
Invalid marker	잘못된 마커
Invalid MeshCore bandwidth	잘못된 MeshCore 대역폭
Invalid MeshCore frequency	잘못된 MeshCore 빈도
Invalid number	잘못된 번호
Invalid RX delay	잘못된 RX 지연
Key marked trusted	신뢰할 수 있는 것으로 표시된 키
Key must be 32 hex or 16 chars	키는 16진수 32자 또는 문자 16자여야 합니다.
Key trust failed	키 신뢰 실패
Key Verification	키 검증
LINKED	연결됨
LISTEN	들어보세요
LIVE	라이브
Loading...	로드 중...
Location	위치
Location: %s	위치: %s
Location: %s %s	위치: %s %s
LoRa direct path  |  %s	LoRa 직접 경로 |  %s
Low battery - audio disabled	배터리 부족 - 오디오 비활성화
Map	지도
Map Layer	지도 계층
MESH	메시
Mesh Status	메시 상태
Mesh unavailable	메시를 사용할 수 없음
MeshCore only	MeshCore만
Message DB cleared	메시지 DB가 지워졌습니다.
Messages	메시지
MESSAGES	메시지
Messages and broadcasts show here	여기에 메시지와 방송이 표시됩니다.
Mini Compass	미니 나침반
MT send uses slot 0/1 only	MT 전송은 슬롯 0/1만 사용합니다.
N/A	해당 없음
Nearby	주변
Need local GPS	로컬 GPS 필요
Network	네트워크
New	신규
new activity	새 활동
Next	다음
No GPS fix	GPS 수정 사항 없음
No image	이미지 없음
No messages	메시지 없음
No preview	미리보기 없음
No recent traffic	최근 트래픽 없음
No response	응답 없음
No route selected	선택한 경로가 없습니다.
No target	대상 없음
No track files	트랙 파일 없음
Node DB reset	노드 DB 재설정
Node ignored	노드가 무시됨
Node ignored and hidden	노드가 무시되고 숨겨집니다.
Node unignored	무시되지 않은 노드
North locked	북쪽 잠김
Not set	설정되지 않음
NO	아니요
NO FIX	수정 사항 없음
Number keyboard	숫자 키보드
OFF	꺼짐
OK	그렇군요
ON	켜짐
online	온라인
Pairing	페어링
PC Link	PC 링크
PC Link is unavailable on this target.	이 대상에서는 PC Link를 사용할 수 없습니다.
peer lock  |  turn %03.0f deg	피어 잠금 |  %03.0f도 회전
Pinyin keyboard	병음 키보드
Pinyin: %s	병음: %s
Position	위치
position stream active  |  %u in view	위치 스트림 활성 |  %u 보기 중
Power	전원
Press Back	뒤로 누르기
Press RX to start	시작하려면 RX을 누르세요.
Primary	기본
Protocol	프로토콜
Protocol switch failed	프로토콜 전환 실패
Protocol switched	프로토콜이 전환됨
quiet net	조용한 넷
Random PIN	임의 PIN
Ready	준비됨
RECEIVING	수신 중
Recent Activity	최근 활동
Record	기록
Recording	녹음 중
Region	지역
Remain: %u	남은: %u
Reply	답변
Reply disabled for this protocol	이 프로토콜에 대해서는 응답이 비활성화되었습니다.
Reset Mesh Profiles	메시 프로파일 재설정
Reset Node DB	노드 DB 재설정
Resetting...	재설정 중...
Return	반품
Rally Point	집결지
RNode Bridge	RNode 브리지
RNode modem ready	RNode 모뎀 준비됨
RNode text chat runs on host	RNode 문자 채팅이 호스트에서 실행됩니다.
Route	경로
Run	실행
RX	RX
RX: %lu  TX: %lu	RX: %lu TX: %lu
RX: 0  TX: 0	RX: 0 TX: 0
Save	저장
Saved: %s	저장됨: %s
Scan failed	스캔 실패
Scan Local	로컬 스캔
Scanning 5s...	5초 스캔 중...
Screen Brightness	화면 밝기
Screen Timeout	화면 시간 초과
SEARCH	검색
Secondary	2차
Select a route	경로 선택
Select a track	트랙 선택
Select marker	마커 선택
Select Track	트랙 선택
Selected: %s	선택됨: %s
Send	보내기
Send failed	보내기 실패
Send this code and compare:\n	이 코드를 보내고 비교하십시오:\n
Send ID Broadcast	ID 브로드캐스트 보내기
Send ID Local	ID 로컬 보내기
Sending...	보내는 중...
Sent	보냄
Settings	설정
Setting	설정
Share Position Marker	위치 마커 공유
Share this number:\n	이 번호를 공유하세요:\n
Short Name	짧은 이름
SOLO	솔로
Speaker Volume	스피커 볼륨
Sky Plot	스카이 플롯
SSTV RX READY	SSTV RX 준비됨
SSTV start failed	SSTV 시작 실패
standing by	대기 중
Status	상태
Stopped	중지됨
Stop	중지
Stop recording first	먼저 녹음을 중지하세요.
Submit	제출
Submit failed	제출 실패
System	시스템
SATELLITE STATUS	위성 상태
Talk	이야기
TALK	이야기
Team	팀
TEAM	팀
Team chat send failed	팀 채팅 보내기 실패
Team chat unavailable	팀 채팅을 사용할 수 없습니다.
Team chat unavailable in RNode mode	RNode 모드에서는 팀 채팅을 사용할 수 없습니다.
