Action	操作
Add	新增
Advanced	進階
Always	常亮
App	應用
Auto	自動
Back	返回
Bluetooth	藍牙
Bluetooth Pairing	藍牙配對
Cancel	取消
Channel	頻道
Chat	聊天
Chinese	中文
Close	關閉
Contacts	聯絡人
Data Exchange	資料交換
Delete	刪除
Disabled	已停用
Discover	發現
Display Language	顯示語言
Edit	編輯
Energy Sweep	頻譜掃描
English	English
English keyboard	英文鍵盤
Error	錯誤
Factory Reset	恢復原廠
GPS	GPS
Extensions	擴充
Language	語言
Package Details	套件詳情
Back to list	返回清單
Install	安裝
Update	更新
Uninstall	解除安裝
Incompatible	不相容
Compatible with this device	與此裝置相容
Compatibility: %s	相容性：%s
memory profile mismatch	記憶體設定檔不相符
needs %s	需要 %s
Update available: %s	有可用更新：%s
Installed	已安裝
Installed: %s	已安裝：%s
Available to install	可安裝
Blocked	已封鎖
%lu locales  %lu fonts  %lu IME  %s	%lu 個語言  %lu 個字型  %lu 個輸入法  %s
No Wi-Fi	無 Wi-Fi
Installing package...	正在安裝套件...
Package installed	套件已安裝
Uninstalling package...	正在解除安裝套件...
Package uninstalled	套件已解除安裝
No language packs available	沒有可用語言包
Available language packs: %lu	可用語言包：%lu
About	關於
Package Info	套件資訊
Contents	內容
Source	來源
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	封存檔：%s\n額外字型 RAM：%s\n設定檔：%s\n%s
Locales: %s\nFonts: %s\nIME: %s	語言：%s\n字型：%s\n輸入法：%s
Author: %s\nHomepage: %s	作者：%s\n首頁：%s
None	無
GPS Status	GPS 狀態
Hide	隱藏
Info	資訊
Japanese	日文
Korean	韓文
Loading...	載入中...
Map	地圖
Map Layer	地圖圖層
Nearby	附近
Network	網路
New	新建
No messages	沒有訊息
No recent traffic	暫無最近活動
Not set	未設定
Number keyboard	數字鍵盤
OFF	關
OK	確定
ON	開
Pairing	配對
PC Link	電腦連線
Power	電源
Protocol	協議
Ready	就緒
Recent Activity	最近活動
Reply	回覆
Run	執行
Save	儲存
Scan failed	掃描失敗
Scan Local	本地掃描
Scanning 5s...	掃描 5 秒...
SEARCH	搜尋
Screen Brightness	螢幕亮度
Screen Timeout	螢幕逾時
Settings	設定
Setting	設定
Sky Plot	星圖
Speaker Volume	喇叭音量
Status	狀態
Stopped	已停止
Stop	停止
Submit	提交
System	系統
Team	團隊
Team Status	團隊狀態
Time Zone	時區
Tracker	軌跡
Traditional Chinese	繁體中文
Unknown	未知
USB Disk	USB儲存
User Name	使用者名稱
Verification Number	驗證號碼
Vibration	震動
Clear all settings and restart?	清除所有設定並重新啟動？
