Action	Actie
Add	Toevoegen
Advanced	Geavanceerd
Always	Altijd
Altitude	Hoogte
Altitude Reference	Hoogteref.
App	App
Area Cleared	Gebied vrij
Auto	Automatisch
Awaiting teammate	Wacht op team
Back	Terug
Base Camp	Basiskamp
Beijing (UTC+8)	Peking (UTC+8)
BLE bridge ready  |  %s	BLE-brug klaar  |  %s
BLE linked  |  %s	BLE gekoppeld  |  %s
Bluetooth	Bluetooth
Bluetooth Pairing	Bluetooth-koppeling
Bcast	Uitzending
Bridge error	Brugfout
Broadcast	Uitzending
Cancel	Annuleren
Channel	Kanaal
Chat	Chatten
Chat unavailable	Chat niet beschikbaar
Chinese	Chinees
Closes automatically after pairing	Sluit na koppelen
Close	Sluiten
Command	Opdracht
Command: %s	Opdracht: %s
Command: %s %s	Opdracht: %s %s
Command: %s %s %s	Opdracht: %s %s %s
Compare Verification Code	Code vergelijken
Compass	Kompas
Connected	Verbonden
Connected, handshaking...	Verbonden, handshake...
Contacts	Contacten
Contacts (%s)	Contacten (%s)
Contacts (LXMF)	Contacten (LXMF)
Contacts (LXMF - %.3fMHz)	Contacten (LXMF - %.3fMHz)
Contacts (MeshCore)	Contacten (MeshCore)
Contacts (Meshtastic - %.3fMHz)	Contacten (Meshtastic - %.3fMHz)
Contacts (RNode)	Contacten (RNode)
Contacts (RNode - %.3fMHz)	Contacten (RNode - %.3fMHz)
Conversation protocol mismatch	Gespreksprotocol komt niet overeen
Data Exchange	Gegevensuitwisseling
Debug Logs	Foutopsporingslogboeken
Decoding: %d%%	Decodering: %d%%
Decoding: 0%	Decodering: 0%
Delete	Verwijderen
Delete %s?	%s verwijderen?
Delete contact %s?	Contactpersoon %s verwijderen?
Delete failed	Verwijderen mislukt
Device: %s	Apparaat: %s
Direct	Direct
Disabled	Uitgeschakeld
Discover	Ontdek
Display Language	Weergavetaal
Duplicate name not allowed	Dubbele naam niet toegestaan
Edit	Bewerken
Edit nickname	Bijnaam bewerken
Emergency SOS	Nood-SOS
Energy Sweep	Energieopruiming
English	Engels
English keyboard	Engels toetsenbord
Enter nickname	Voer bijnaam in
