Action	Ação
Add	Adicionar
Advanced	Avançado
Always	Sempre
Altitude	Altitude
Altitude Reference	Ref. altitude
App	Aplicativo
Area Cleared	Área limpa
Auto	Automático
Awaiting teammate	Aguardando equipa
Back	Voltar
Base Camp	Acampamento base
Beijing (UTC+8)	Pequim (UTC+8)
BLE bridge ready  |  %s	Ponte BLE pronta  |  %s
BLE linked  |  %s	BLE ligado  |  %s
Bluetooth	Bluetooth
Bluetooth Pairing	Emparelhar Bluetooth
Bcast	Difusão
Bridge error	Erro de ponte
Broadcast	Difusão
Cancel	Cancelar
Channel	Canal
Chat	Bate-papo
Chat unavailable	Chat indisponível
Chinese	Chinês
Closes automatically after pairing	Fecha após emparelhar
Close	Fechar
Command	Comando
Command: %s	Comando: %s
Command: %s %s	Comando: %s %s
Command: %s %s %s	Comando: %s %s %s
Compare Verification Code	Comparar código
Compass	Bússola
Connected	Conectado
Connected, handshaking...	Conectado, handshake...
Contacts	Contactos
Contacts (%s)	Contactos (%s)
Contacts (LXMF)	Contatos (LXMF)
Contacts (LXMF - %.3fMHz)	Contatos (LXMF - %.3fMHz)
Contacts (MeshCore)	Contatos (MeshCore)
Contacts (Meshtastic - %.3fMHz)	Contatos (Meshtastic - %.3fMHz)
Contacts (RNode)	Contatos (RNode)
Contacts (RNode - %.3fMHz)	Contatos (RNode - %.3fMHz)
Conversation protocol mismatch	Incompatibilidade de protocolo de conversação
Data Exchange	Troca de dados
Debug Logs	Logs de depuração
Decoding: %d%%	Decodificação: %d%%
Decoding: 0%	Decodificação: 0%
Delete	Excluir
Delete %s?	Excluir %s?
Delete contact %s?	Excluir contato %s?
Delete failed	Falha na exclusão
Device: %s	Dispositivo: %s
Direct	Direto
Disabled	Desativado
Discover	Descobrir
Display Language	Idioma de exibição
Duplicate name not allowed	Nome duplicado não permitido
Edit	Editar
Edit nickname	Editar apelido
Emergency SOS	SOS de Emergência
Energy Sweep	Varredura de Energia
English	Inglês
English keyboard	Teclado inglês
Enter nickname	Insira o apelido
Enter number for %s	Insira o número para %s
Enter the 6-digit number	Insira o número de 6 dígitos
Enter this 6-digit PIN on your phone	Insira este PIN de 6 dígitos em seu telefone
Error	Erro
Error: %lu	Erro: %lu
FSK Voice	Voz FSK
Failed	Falha
Fix	Correção
Fixed PIN	PIN fixo
Gauge Design (mAh)	Design do medidor (mAh)
Gauge Full (mAh)	Medidor cheio (mAh)
Good Find	Boa descoberta
GPS	GPS
Extensions	Extensões
Language	Idioma
Package Details	Detalhes do pacote
Back to list	Voltar à lista
Install	Instalar
Update	Atualização
Uninstall	Desinstalar
Incompatible	Incompatível
Compatible with this device	Compatível com este dispositivo
Compatibility: %s	Compatibilidade: %s
memory profile mismatch	incompatibilidade de perfil de memória
needs %s	precisa de %s
Update available: %s	Atualização disponível: %s
Installed	Instalado
Installed: %s	Instalado: %s
Available to install	Disponível para instalação
Blocked	Bloqueado
%lu locales  %lu fonts  %lu IME  %s	%lu localidades %lu fontes %lu IME %s
No Wi-Fi	Não Wi-Fi
Installing package...	Instalando pacote...
Package installed	Pacote instalado
Uninstalling package...	Desinstalando pacote...
Package uninstalled	Pacote desinstalado
No language packs available	Nenhum pacote de idiomas disponível
Available language packs: %lu	Pacotes de idiomas disponíveis: %lu
About	Sobre
Package Info	Informações do pacote
Contents	Conteúdo
Source	Fonte
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	Arquivo: %s\nFonte extra RAM: %s\nPerfis: %s\n%s
Locales: %s\nFonts: %s\nIME: %s	Locais: %s\nFontes: %s\nIME: %s
Author: %s\nHomepage: %s	Autor: %s\nPágina inicial: %s
None	Nenhum
GPS Status	GPS Status
HDOP	HDOP
Heading starting	Início da direção
Hide	Ocultar
Host bridge	Ponte hospedeira
Host connected, probing modem...	Host conectado, testando modem...
IDLE	IDLE
Ignored	Ignorado
Ignore	Ignorar
Ignore unavailable	Ignorar indisponível
Ignore update failed	Falha ao ignorar atualização
Image received	Imagem recebida
Info	Informações
Initializing...	Inicializando...
Invalid airtime factor	Fator de tempo de antena inválido
Invalid design capacity (mAh)	Capacidade de design inválida (mAh)
Invalid frequency offset	Deslocamento de frequência inválido
Invalid frequency value	Valor de frequência inválido
Invalid full capacity (mAh)	Capacidade total inválida (mAh)
Invalid marker	Marcador inválido
Invalid MeshCore bandwidth	Largura de banda MeshCore inválida
Invalid MeshCore frequency	Frequência MeshCore inválida
Invalid number	Número inválido
Invalid RX delay	Atraso RX inválido
Key marked trusted	Chave marcada como confiável
Key must be 32 hex or 16 chars	A chave deve ter 32 hexadecimais ou 16 caracteres
Key trust failed	Falha na confiança da chave
Key Verification	Verificação de chave
LINKED	VINCULADO
LISTEN	ESCUTAR
LIVE	AO VIVO
Loading...	Carregando...
Location	Localização
Location: %s	Local: %s
Location: %s %s	Localização: %s %s
LoRa direct path  |  %s	Caminho direto LoRa |  %s
Low battery - audio disabled	Bateria fraca - áudio desativado
Map	Mapa
Map Layer	Camada do Mapa
MESH	MALHA
Mesh Status	Status da malha
Mesh unavailable	Malha indisponível
MeshCore only	MeshCore somente
Message DB cleared	Banco de dados de mensagens limpo
Messages	Mensagens
MESSAGES	MENSAGENS
Messages and broadcasts show here	Mensagens e transmissões são mostradas aqui
Mini Compass	Mini Bússola
MT send uses slot 0/1 only	O envio MT usa apenas o slot 0/1
N/A	N/A
Nearby	Perto
Need local GPS	Precisa de GPS local
Network	Rede
New	Novo
new activity	nova atividade
Next	Próximo
No GPS fix	Nenhuma correção GPS
No image	Sem imagem
No messages	Nenhuma mensagem
No preview	Sem visualização
No recent traffic	Nenhum tráfego recente
No response	Sem resposta
No route selected	Nenhuma rota selecionada
No target	Sem meta
No track files	Nenhum arquivo de rastreamento
Node DB reset	Redefinição do banco de dados do nó
Node ignored	Nó ignorado
Node ignored and hidden	Nó ignorado e oculto
Node unignored	Nó não ignorado
North locked	Norte bloqueado
Not set	Não definido
NO	NÃO
NO FIX	SEM CORREÇÃO
Number keyboard	Teclado numérico
OFF	DESLIGADO
OK	OK
ON	ATIVADO
online	on-line
Pairing	Emparelhamento
PC Link	Link PC
PC Link is unavailable on this target.	PC Link não está disponível neste destino.
peer lock  |  turn %03.0f deg	bloqueio de ponto |  gire %03.0f graus
Pinyin keyboard	Teclado Pinyin
Pinyin: %s	Pinyin: %s
Position	Posição
position stream active  |  %u in view	fluxo de posição ativo |  %u em exibição
Power	Potência
Press Back	Pressione Voltar
Press RX to start	Pressione RX para iniciar
Primary	Primário
Protocol	Protocolo
Protocol switch failed	Falha na troca de protocolo
Protocol switched	Protocolo trocado
quiet net	rede silenciosa
Random PIN	PIN aleatório
Ready	Pronto
RECEIVING	RECEBENDO
Recent Activity	Atividade recente
Record	Registro
Recording	Gravação
Region	Região
Remain: %u	Permanecer: %u
Reply	Responder
Reply disabled for this protocol	Resposta desabilitada para este protocolo
Reset Mesh Profiles	Redefinir perfis de malha
Reset Node DB	Redefinir banco de dados do nó
Resetting...	Reinicializando...
Return	Retorno
Rally Point	Ponto de Encontro
RNode Bridge	RNode Ponte
RNode modem ready	RNode modem pronto
RNode text chat runs on host	RNode o chat de texto é executado no host
Route	Rota
Run	Executar
RX	RX
RX: %lu  TX: %lu	RX: %lu TX: %lu
RX: 0  TX: 0	RX: 0 TX: 0
Save	Salvar
Saved: %s	Salvo: %s
Scan failed	Falha na verificação
Scan Local	Digitalizar Local
Scanning 5s...	Digitalizando 5s...
Screen Brightness	Brilho da tela
Screen Timeout	Tempo limite da tela
SEARCH	PESQUISA
Secondary	Secundário
Select a route	Selecione uma rota
Select a track	Selecione uma faixa
Select marker	Selecionar marcador
Select Track	Selecionar trilha
Selected: %s	Selecionado: %s
Send	Enviar
Send failed	Falha no envio
Send this code and compare:\n	Envie este código e compare:\n
Send ID Broadcast	Enviar ID Transmissão
Send ID Local	Enviar ID Local
Sending...	Enviando...
Sent	Enviado
Settings	Configurações
Setting	Configuração
Share Position Marker	Marcador de posição de compartilhamento
Share this number:\n	Compartilhe este número:\n
Short Name	Nome abreviado
SOLO	SOZINHO
Speaker Volume	Volume do alto-falante
Sky Plot	Gráfico do Céu
SSTV RX READY	SSTV RX PRONTO
SSTV start failed	Falha no início do SSTV
standing by	aguardando
Status	Estado
Stopped	Parado
Stop	Parar
Stop recording first	Pare a gravação primeiro
Submit	Enviar
Submit failed	Falha no envio
System	Sistema
SATELLITE STATUS	STATUS DO SATÉLITE
Talk	Conversar
TALK	FALAR
Team	Equipe
TEAM	EQUIPE
Team chat send failed	Falha no envio do bate-papo da equipe
Team chat unavailable	Bate-papo da equipe indisponível
Team chat unavailable in RNode mode	Bate-papo em equipe indisponível no modo RNode
team member position will appear here	a posição do membro da equipe aparecerá aqui
Team keys not ready	As chaves da equipe não estão prontas
Team location encode failed	Falha na codificação do local da equipe
Text chat unavailable	Bate-papo por texto indisponível
threads active	encadeamentos ativos
Time Zone	Fuso horário
Tracker	Rastreador
traffic active	tráfego ativo
Trust Key	Chave de confiança
U	U
Unignore	Designorar
Unread	Não lido
Unknown	Desconhecido
USB Mass Storage	USB Mass Storage
USB Disk	USB Disco
USB Bridge	USB Ponte
USB host bridge	USB ponte de host
USB Bridge is unavailable on this target.	USB Bridge não está disponível neste destino.
USB CDC KISS modem for Reticulum	USB Modem CDC KISS para Reticulum
USE	USO
Used	Usado
User Name	Nome de usuário
Verification Number	Número de verificação
Verification number sent	Número de verificação enviado
Vibration	Vibração
VOL %d	VOL%d
VOL 80	VOL 80
waiting for better sky view  |  %u in view	esperando por uma melhor visão do céu |  %u em exibição
waiting for module GNSS compass	aguardando módulo GNSS bússola
waiting for traffic	aguardando trânsito
Waiting for host...	Aguardando anfitrião...
Waiting for Reticulum host...	Aguardando host Reticulum...
WAIT IMU	ESPERE IMU
Walkie not available	Walkie não disponível
Walkie start failed	Falha na inicialização do walkie
Walkie Talkie	Walkie Talkie
YES	SIM
6 digits	6 dígitos
%u threads active	%u tópicos ativos
%ud	%ud
%uh	%uh
%um	%um
%umo	%umo
%uy	%uy
Confirm received code:\n	Confirme o código recebido:\n
device heading from 9-axis module	cabeçalho do dispositivo do módulo de 9 eixos
heading unlocks after first fix	título é desbloqueado após a primeira correção
If it matches, trust the key.	Se corresponder, confie na chave.
magnetometer heading active	rumo do magnetômetro ativo
magnetometer still warming up	magnetômetro ainda aquecendo
needle shows north until target lock	agulha mostra o norte até o alvo travado
nearest peer  |  %.0f m away	par mais próximo |  %.0f m de distância
no recent traffic	nenhum tráfego recente
now	agora
%s layer missing	%s camada ausente
Active: %s	Ativo: %s
Alt: %.0f m	Alt: %.0fm
Alt: -- m	Alt: --m
Base: %s	Base: %s
Battery critical	Bateria crítica
Broadcast (%d)	Transmissão (%d)
COMPLETE	CONCLUÍDO
Calibrating...	Calibrando...
Confirm	Confirmar
Contour: OFF	Contorno: DESLIGADO
