Action	Ação
Add	Adicionar
Advanced	Avançado
Always	Sempre
App	App
Auto	Auto
Back	Voltar
Bluetooth	Bluetooth
Bluetooth Pairing	Emparelhamento Bluetooth
Cancel	Cancelar
Channel	Canal
Chat	Chat
Chinese	Chinês
Close	Fechar
Contacts	Contactos
Data Exchange	Troca dados
Delete	Eliminar
Disabled	Desativado
Discover	Descobrir
Display Language	Idioma do ecrã
Edit	Editar
Energy Sweep	Varrimento RF
English	Inglês
English keyboard	Teclado inglês
Error	Erro
Factory Reset	Repor de fábrica
GPS	GPS
Extensions	Extensões
Language	Idioma
Package Details	Detalhes do pacote
Back to list	Voltar à lista
Install	Instalar
Update	Atualizar
Uninstall	Desinstalar
Incompatible	Incompatível
Compatible with this device	Compatível com este dispositivo
Compatibility: %s	Compatibilidade: %s
memory profile mismatch	perfil de memória incompatível
needs %s	requer %s
Update available: %s	Atualização disponível: %s
Installed	Instalado
Installed: %s	Instalado: %s
Available to install	Disponível para instalar
Blocked	Bloqueado
%lu locales  %lu fonts  %lu IME  %s	%lu idiomas  %lu tipos de letra  %lu IME  %s
No Wi-Fi	Sem Wi-Fi
Installing package...	A instalar pacote...
Package installed	Pacote instalado
Uninstalling package...	A desinstalar pacote...
Package uninstalled	Pacote desinstalado
No language packs available	Sem pacotes de idioma disponíveis
Available language packs: %lu	Pacotes de idioma disponíveis: %lu
About	Sobre
Package Info	Informação do pacote
Contents	Conteúdo
Source	Origem
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	Arquivo: %s\nRAM extra de tipos de letra: %s\nPerfis: %s\n%s
Locales: %s\nFonts: %s\nIME: %s	Idiomas: %s\nTipos de letra: %s\nIME: %s
Author: %s\nHomepage: %s	Autor: %s\nPágina inicial: %s
None	Nenhum
GPS Status	Estado GPS
Hide	Ocultar
Info	Info
Loading...	A carregar...
Map	Mapa
Map Layer	Camada do mapa
Nearby	Próximo
Network	Rede
New	Novo
No messages	Sem mensagens
No recent traffic	Sem tráfego recente
Not set	Não definido
Number keyboard	Teclado numérico
OFF	DESL
OK	OK
ON	LIG
Pairing	Emparelhar
PC Link	Ligação PC
Power	Alimentação
Protocol	Protocolo
Ready	Pronto
Recent Activity	Atividade recente
Reply	Responder
Run	Executar
Save	Guardar
Scan failed	Varrimento falhou
Scan Local	Varrimento local
Scanning 5s...	A varrer 5 s...
SEARCH	PESQUISA
Screen Brightness	Brilho do ecrã
Screen Timeout	Tempo do ecrã
Settings	Definições
Setting	Definição
Sky Plot	Céu GPS
Speaker Volume	Volume do altifalante
Status	Estado
Stopped	Parado
Stop	Parar
Submit	Enviar
System	Sistema
Team	Equipa
Team Status	Estado da equipa
Time Zone	Fuso horário
Tracker	Seguimento
Unknown	Desconhecido
USB Disk	Disco USB
User Name	Nome de utilizador
Verification Number	Número de verificação
Vibration	Vibração
Clear all settings and restart?	Limpar todas as definições e reiniciar?
