Action	Akcja
Add	Dodaj
Advanced	Zaawansowane
Always	Zawsze
Altitude	Wysokość
Altitude Reference	Ref. wys.
App	Aplikacja
Area Cleared	Obszar czysty
Auto	Automatycznie
Awaiting teammate	Oczek. na zespół
Back	Wstecz
Base Camp	Baza
Beijing (UTC+8)	Pekin (UTC+8)
BLE bridge ready  |  %s	Mostek BLE gotowy  |  %s
BLE linked  |  %s	BLE połączony  |  %s
Bluetooth	Bluetooth
Bluetooth Pairing	Parowanie BT
Bcast	Rozgłoszenie
Bridge error	Błąd mostka
Broadcast	Rozgłoszenie
Cancel	Anuluj
Channel	Kanał
Chat	Czat
Chat unavailable	Czat niedostępny
Chinese	Chiński
Closes automatically after pairing	Zamyka po sparowaniu
Close	Zamknij
Command	Polecenie
Command: %s	Polecenie: %s
Command: %s %s	Polecenie: %s %s
Command: %s %s %s	Polecenie: %s %s %s
Compare Verification Code	Porównaj kod
Compass	Kompas
Connected	Połączono
Connected, handshaking...	Połączono, uzgadnianie...
Contacts	Kontakty
Contacts (%s)	Kontakty (%s)
Contacts (LXMF)	Kontakty (LXMF)
Contacts (LXMF - %.3fMHz)	Kontakty (LXMF - %.3fMHz)
Contacts (MeshCore)	Kontakty (MeshCore)
Contacts (Meshtastic - %.3fMHz)	Kontakty (Meshtastic - %.3fMHz)
Contacts (RNode)	Kontakty (RNode)
Contacts (RNode - %.3fMHz)	Kontakty (RNode - %.3fMHz)
Conversation protocol mismatch	Niezgodność protokołu konwersacji
Data Exchange	Wymiana danych
Debug Logs	Dzienniki debugowania
Decoding: %d%%	Dekodowanie: %d%%
Decoding: 0%	Dekodowanie: 0%
Delete	Usuń
Delete %s?	Usunąć %s?
Delete contact %s?	Usunąć kontakt %s?
Delete failed	Usuwanie nie powiodło się
Device: %s	Urządzenie: %s
Direct	Bezpośrednio
Disabled	Wyłączone
Discover	Odkryj
Display Language	Język wyświetlania
Duplicate name not allowed	Niedozwolona jest zduplikowana nazwa
Edit	Edytuj
Edit nickname	Edytuj pseudonim
Emergency SOS	Alarmowe SOS
Energy Sweep	Przemiatanie energii
English	Angielski
English keyboard	Klawiatura angielska
Enter nickname	Wpisz pseudonim
Enter number for %s	Wpisz numer dla %s
Enter the 6-digit number	Wprowadź 6-cyfrowy numer
Enter this 6-digit PIN on your phone	Wpisz ten 6-cyfrowy PIN w swoim telefonie
Error	Błąd
Error: %lu	Błąd: %lu
FSK Voice	Głos FSK
Failed	Niepowodzenie
Fix	Napraw
Fixed PIN	Stały PIN
Gauge Design (mAh)	Konstrukcja wskaźnika (mAh)
Gauge Full (mAh)	Wskaźnik pełny (mAh)
Good Find	Dobre znalezisko
GPS	GPS
Extensions	Rozszerzenia
Language	Język
Package Details	Szczegóły pakietu
Back to list	Powrót do listy
Install	Zainstaluj
Update	Aktualizacja
Uninstall	Odinstaluj
Incompatible	Niekompatybilny
Compatible with this device	Kompatybilny z tym urządzeniem
Compatibility: %s	Kompatybilność: %s
memory profile mismatch	niezgodność profilu pamięci
needs %s	potrzebuje %s
Update available: %s	Dostępna aktualizacja: %s
Installed	Zainstalowano
Installed: %s	Zainstalowano: %s
Available to install	Dostępne do zainstalowania
Blocked	Zablokowano
%lu locales  %lu fonts  %lu IME  %s	%lu ustawienia regionalne %lu czcionki %lu IME %s
No Wi-Fi	Nie Wi-Fi
Installing package...	Instalowanie pakietu...
Package installed	Pakiet zainstalowany
Uninstalling package...	Odinstalowywanie pakietu...
Package uninstalled	Pakiet został odinstalowany
No language packs available	Brak dostępnych pakietów językowych
Available language packs: %lu	Dostępne pakiety językowe: %lu
About	Informacje
Package Info	Informacje o pakiecie
Contents	Spis treści
Source	Źródło
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	Archiwum: %s\nDodatkowa czcionka RAM: %s\nProfile: %s\n%s
Locales: %s\nFonts: %s\nIME: %s	Ustawienia regionalne: %s\nCzcionki: %s\nIME: %s
Author: %s\nHomepage: %s	Autor: %s\nStrona główna: %s
None	Brak
GPS Status	GPS Stan
HDOP	HDOP
Heading starting	Rozpoczęcie kursu
Hide	Ukryj
Host bridge	Most hosta
Host connected, probing modem...	Host podłączony, modem sprawdzany...
IDLE	IDLE
Ignored	Zignorowano
Ignore	Ignoruj
Ignore unavailable	Ignoruj niedostępne
Ignore update failed	Ignorowanie aktualizacji nie powiodło się
Image received	Otrzymano obraz
Info	Informacje
Initializing...	Inicjowanie...
Invalid airtime factor	Nieprawidłowy współczynnik czasu antenowego
Invalid design capacity (mAh)	Nieprawidłowa pojemność projektowa (mAh)
Invalid frequency offset	Nieprawidłowe przesunięcie częstotliwości
Invalid frequency value	Nieprawidłowa wartość częstotliwości
Invalid full capacity (mAh)	Nieprawidłowa pełna pojemność (mAh)
Invalid marker	Nieprawidłowy znacznik
Invalid MeshCore bandwidth	Nieprawidłowa przepustowość MeshCore
Invalid MeshCore frequency	Nieprawidłowa częstotliwość MeshCore
Invalid number	Nieprawidłowy numer
Invalid RX delay	Nieprawidłowe opóźnienie RX
Key marked trusted	Klucz oznaczony jako zaufany
Key must be 32 hex or 16 chars	Klucz musi mieć długość 32 znaków szesnastkowych lub 16 znaków
Key trust failed	Nie udało się zaufać kluczowi
Key Verification	Weryfikacja klucza
LINKED	POŁĄCZONE
LISTEN	SŁUCHAJ
LIVE	NA ŻYWO
Loading...	Ładowanie...
Location	Lokalizacja
Location: %s	Lokalizacja: %s
Location: %s %s	Lokalizacja: %s %s
LoRa direct path  |  %s	Ścieżka bezpośrednia LoRa |  %s
Low battery - audio disabled	Niski poziom baterii – dźwięk wyłączony
Map	Mapa
Map Layer	Warstwa mapy
MESH	SIATKA
Mesh Status	Stan siatki
Mesh unavailable	Siatka niedostępna
MeshCore only	Tylko MeshCore
Message DB cleared	Wiadomość DB została wyczyszczona
Messages	Wiadomości
MESSAGES	WIADOMOŚCI
Messages and broadcasts show here	Tutaj wyświetlane są wiadomości i transmisje
Mini Compass	Minikompas
MT send uses slot 0/1 only	Wysyłanie MT wykorzystuje tylko slot 0/1
N/A	Nie dotyczy
Nearby	W pobliżu
Need local GPS	Potrzebujesz lokalnego GPS
Network	Sieć
New	Nowość
new activity	nowa aktywność
Next	Dalej
No GPS fix	Brak poprawki GPS
No image	Brak obrazu
No messages	Brak wiadomości
No preview	Brak podglądu
No recent traffic	Brak niedawnego ruchu
No response	Brak odpowiedzi
No route selected	Nie wybrano trasy
No target	Brak celu
No track files	Brak plików utworów
Node DB reset	Reset bazy danych węzła
Node ignored	Węzeł zignorowany
Node ignored and hidden	Węzeł zignorowany i ukryty
Node unignored	Węzeł niezignorowany
North locked	Północ zablokowana
Not set	Nie ustawiono
NO	NIE
NO FIX	BRAK POPRAWKI
Number keyboard	Klawiatura numeryczna
OFF	WYŁĄCZONE
OK	OK
ON	WŁ
online	online
Pairing	Parowanie
PC Link	Połączenie z komputerem
PC Link is unavailable on this target.	Łącze PC jest niedostępne w tym urządzeniu docelowym.
peer lock  |  turn %03.0f deg	blokada równorzędna |  obróć o %03.0f stopni
Pinyin keyboard	Klawiatura Pinyin
Pinyin: %s	Pinyin: %s
Position	Pozycja
position stream active  |  %u in view	strumień pozycji aktywny |  %u w widoku
Power	Moc
Press Back	Naciśnij Wstecz
Press RX to start	Naciśnij RX, aby rozpocząć
Primary	Podstawowy
Protocol	Protokół
Protocol switch failed	Przełączenie protokołu nie powiodło się
Protocol switched	Protokół zmieniony
quiet net	cicha sieć
Random PIN	Losowy PIN
Ready	Gotowe
RECEIVING	ODBIÓR
Recent Activity	Ostatnia aktywność
Record	Nagraj
Recording	Nagrywanie
Region	Region
Remain: %u	Pozostało: %u
Reply	Odpowiedz
Reply disabled for this protocol	Odpowiedź wyłączona dla tego protokołu
Reset Mesh Profiles	Zresetuj profile siatki
Reset Node DB	Zresetuj bazę danych węzła
Resetting...	Resetowanie...
Return	Wróć
Rally Point	Punkt zbiórki
RNode Bridge	RNode Most
RNode modem ready	RNode modem gotowy
RNode text chat runs on host	RNode czat tekstowy działa na hoście
Route	Trasa
Run	Uruchom
RX	RX
RX: %lu  TX: %lu	RX: %lu TX: %lu
RX: 0  TX: 0	RX: 0 TX: 0
Save	Zapisz
Saved: %s	Zapisano: %s
Scan failed	Skanowanie nie powiodło się
Scan Local	Skanuj lokalnie
Scanning 5s...	Skanowanie 5s...
Screen Brightness	Jasność ekranu
Screen Timeout	Limit czasu ekranu
SEARCH	SZUKAJ
Secondary	Drugorzędny
Select a route	Wybierz trasę
Select a track	Wybierz utwór
Select marker	Wybierz znacznik
Select Track	Wybierz ścieżkę
Selected: %s	Wybrano: %s
Send	Wyślij
Send failed	Wysyłanie nie powiodło się
Send this code and compare:\n	Wyślij ten kod i porównaj:\n
Send ID Broadcast	Wyślij ID Transmisja
Send ID Local	Wyślij ID lokalnie
Sending...	Wysyłanie...
Sent	Wysłano
Settings	Ustawienia
Setting	Ustawienie
Share Position Marker	Udostępnij znacznik pozycji
Share this number:\n	Udostępnij ten numer:\n
Short Name	Krótka nazwa
SOLO	SOLO
Speaker Volume	Głośność głośnika
Sky Plot	Wykres nieba
SSTV RX READY	SSTV RX GOTOWE
SSTV start failed	Uruchomienie SSTV nie powiodło się
standing by	w pogotowiu
Status	Stan
Stopped	Zatrzymano
Stop	Zatrzymaj
Stop recording first	Najpierw zatrzymaj nagrywanie
Submit	Prześlij
Submit failed	Przesyłanie nie powiodło się
System	Systemu
SATELLITE STATUS	STATUS SATELITY
Talk	Rozmawiaj
TALK	ROZMAWIAJ
Team	Zespół
TEAM	ZESPÓŁ
Team chat send failed	Wysłanie czatu zespołu nie powiodło się
Team chat unavailable	Czat zespołu jest niedostępny
Team chat unavailable in RNode mode	Czat zespołowy niedostępny w trybie RNode
team member position will appear here	pozycja członka zespołu
Team keys not ready	Klucze zespołu nie są gotowe
Team location encode failed	Kodowanie lokalizacji zespołu nie powiodło się
Text chat unavailable	Czat tekstowy niedostępny
threads active	wątki aktywne
