Action	Action
Add	Ajouter
Advanced	Avancé
Always	Toujours
App	Appli
Auto	Auto
Back	Retour
Bluetooth	Bluetooth
Bluetooth Pairing	Appairage Bluetooth
Cancel	Annuler
Channel	Canal
Chat	Chat
Chinese	Chinois
Close	Fermer
Contacts	Contacts
Data Exchange	Échange données
Delete	Supprimer
Disabled	Désactivé
Discover	Découvrir
Display Language	Langue d'affichage
Edit	Modifier
Energy Sweep	Balayage RF
English	Anglais
English keyboard	Clavier anglais
Error	Erreur
Factory Reset	Réinit. usine
GPS	GPS
Extensions	Extensions
Language	Langue
Package Details	Détails du paquet
Back to list	Retour à la liste
Install	Installer
Update	Mettre à jour
Uninstall	Désinstaller
Incompatible	Incompatible
Compatible with this device	Compatible avec cet appareil
Compatibility: %s	Compatibilité : %s
memory profile mismatch	profil mémoire incompatible
needs %s	nécessite %s
Update available: %s	Mise à jour disponible : %s
Installed	Installé
Installed: %s	Installé : %s
Available to install	Disponible à l'installation
Blocked	Bloqué
%lu locales  %lu fonts  %lu IME  %s	%lu langues  %lu polices  %lu IME  %s
No Wi-Fi	Pas de Wi-Fi
Installing package...	Installation du paquet...
Package installed	Paquet installé
Uninstalling package...	Désinstallation du paquet...
Package uninstalled	Paquet désinstallé
No language packs available	Aucun paquet de langue disponible
Available language packs: %lu	Paquets de langue disponibles : %lu
About	À propos
Package Info	Infos du paquet
Contents	Contenu
Source	Source
Archive: %s\nExtra font RAM: %s\nProfiles: %s\n%s	Archive : %s\nRAM police supplémentaire : %s\nProfils : %s\n%s
Locales: %s\nFonts: %s\nIME: %s	Langues : %s\nPolices : %s\nIME : %s
Author: %s\nHomepage: %s	Auteur : %s\nPage d'accueil : %s
None	Aucun
GPS Status	État GPS
Hide	Masquer
Info	Infos
Loading...	Chargement...
Map	Carte
Map Layer	Couche de carte
Nearby	À proximité
Network	Réseau
New	Nouveau
No messages	Aucun message
No recent traffic	Aucun trafic récent
Not set	Non défini
Number keyboard	Clavier numérique
OFF	OFF
OK	OK
ON	ON
Pairing	Appairage
PC Link	Lien PC
Power	Alimentation
Protocol	Protocole
Ready	Prêt
Recent Activity	Activité récente
Reply	Répondre
Run	Exécuter
Save	Enregistrer
Scan failed	Échec du scan
Scan Local	Scan local
Scanning 5s...	Scan 5 s...
SEARCH	RECHERCHE
Screen Brightness	Luminosité écran
Screen Timeout	Veille écran
Settings	Paramètres
Setting	Réglage
Sky Plot	Ciel GPS
Speaker Volume	Volume haut-parleur
Status	Statut
Stopped	Arrêté
Stop	Arrêter
Submit	Valider
System	Système
Team	Équipe
Team Status	État équipe
Time Zone	Fuseau horaire
Tracker	Suivi
Unknown	Inconnu
USB Disk	Disque USB
User Name	Nom d'utilisateur
Verification Number	Numéro de vérification
Vibration	Vibration
Clear all settings and restart?	Effacer tous les réglages et redémarrer ?
